"","V1","V2"
"187","1552519_at","ACVR1C"
"188","1552520_at","TMEM74"
"189","1552521_a_at","TMEM74"
"190","1552522_at","TIGD4"
"191","1552523_a_at","TIGD4"
"192","1552524_at","ART5"
"193","1552526_at","FAM71C"
"194","1552528_at","LINC01547"
"195","1552531_a_at","NLRP11"
"196","1552532_a_at","ATP6V1C2"
"197","1552535_at","CLDN19"
"198","1552536_at","VTI1A"
"199","1552538_a_at","KIF6"
"200","1552540_s_at","IQCD"
"201","1552541_at","TAGAP"
"202","1552542_s_at","TAGAP"
"203","1552543_a_at","STON2"
"204","1552544_at","SERPINA12"
"205","1552546_a_at","LETM2"
"206","1552548_at","BSND"
"207","1552549_a_at","BSND"
"208","1552552_s_at","CLEC4C"
"209","1552553_a_at","NLRC4"
"210","1552554_a_at","NLRC4"
"211","1552555_at","PRSS36"
"212","1552557_a_at","ZDHHC15"
"213","1552558_a_at","RAI1"
"214","1552559_a_at","CDK15"
"215","1552562_at","ZNF570"
"216","1552563_a_at","1552563_a_at"
"217","1552564_at","NUDT9P1"
"218","1552566_at","BTBD16"
"219","1552568_at","RTP3"
"220","1552569_a_at","RTP3"
"221","1552570_at","TSPEAR"
"222","1552572_a_at","MIPOL1"
"223","1552573_s_at","MIPOL1"
"224","1552575_a_at","C6orf141"
"225","1552576_at","ALMS1P"
"226","1552578_a_at","MYO3B"
"227","1552579_a_at","ADAM21"
"228","1552580_at","TRIML2"
"229","1552582_at","ABCC13"
"230","1552583_s_at","ABCC13"
"231","1552584_at","IL12RB1"
"232","1552585_s_at","GTF2A1L"
"233","1552586_at","TRPV3"
"234","1552587_at","CNBD1"
"235","1552588_a_at","CNBD1"
"236","1552590_a_at","ABCC12"
"237","1552592_at","MMP21"
"238","1552594_at","TMEM190"
"239","1552596_at","GAS2L2"
"240","1552598_at","KCNG4"
"241","1552599_at","PXT1"
"242","1552602_at","CACNG5"
"243","1552604_at","LINC00308"
"244","1552605_s_at","LINC00308"
"245","1552607_at","FAM223A /// FAM223B"
"246","1552608_at","WFDC11"
"247","1552609_s_at","IFNL2 /// IFNL3"
"248","1552610_a_at","JAK1"
"249","1552611_a_at","JAK1"
"250","1552612_at","CDC42SE2"
"251","1552613_s_at","CDC42SE2"
"252","1552615_at","ACACB"
"253","1552616_a_at","ACACB"
"254","1552617_a_at","RFWD2"
"255","1552618_at","STX6"
"256","1552619_a_at","ANLN"
"257","1552620_at","SPRR4"
"258","1552621_at","POLR2J2 /// POLR2J3"
"259","1552622_s_at","LOC105379744 /// LOC441259 /// PMS2P5 /// POLR2J2 /// POLR2J3"
"260","1552623_at","HSH2D"
"261","1552625_a_at","TRNT1"
"262","1552626_a_at","TMEM163"
"263","1552627_a_at","ARHGAP5"
"264","1552628_a_at","HERPUD2"
"265","1552629_a_at","JMJD6"
"266","1552630_a_at","SRCAP"
"267","1552631_a_at","MAP3K6"
"268","1552632_a_at","ARSG"
"269","1552633_at","ZNF101"
"270","1552634_a_at","ZNF101"
"271","1552637_at","PTPN11"
"272","1552639_at","KLHDC7B"
