"","V1","V2"
"15429","205981_s_at","ING2"
"15430","205982_x_at","SFTPC"
"15431","205983_at","DPEP1"
"15432","205984_at","CRHBP"
"15433","205985_x_at","CLCNKB"
"15434","205986_at","AATK"
"15435","205987_at","CD1C"
"15436","205988_at","CD84"
"15437","205989_s_at","MOG"
"15438","205990_s_at","WNT5A"
"15439","205991_s_at","PRRX1"
"15440","205992_s_at","IL15"
"15441","205993_s_at","TBX2"
"15442","205994_at","ELK4"
"15443","205995_x_at","IQCB1"
"15444","205996_s_at","AK2"
"15445","205997_at","ADAM28"
"15446","205998_x_at","CYP3A4"
"15447","205999_x_at","CYP3A4"
"15448","206000_at","MEP1A"
"15449","206001_at","NPY"
"15450","206002_at","ADGRG2"
"15451","206003_at","CEP135"
"15452","206004_at","TGM3"
"15453","206005_s_at","CEP162"
"15454","206006_s_at","CEP162"
"15455","206007_at","PRG4"
"15456","206008_at","TGM1"
"15457","206009_at","ITGA9"
"15458","206010_at","HABP2"
"15459","206011_at","CASP1"
"15460","206012_at","LEFTY2"
"15461","206013_s_at","ACTL6B"
"15462","206014_at","ACTL6B"
"15463","206015_s_at","FOXJ3"
"15464","206016_at","CCDC22"
"15465","206017_at","KIAA0319"
"15466","206018_at","FOXG1"
"15467","206019_at","RBM19"
"15468","206020_at","SOCS6"
"15469","206021_at","SCAND2P"
"15470","206022_at","NDP"
"15471","206023_at","NMU"
"15472","206024_at","HPD"
"15473","206025_s_at","TNFAIP6"
"15474","206026_s_at","TNFAIP6"
"15475","206027_at","S100A3"
"15476","206028_s_at","MERTK"
"15477","206029_at","ANKRD1"
"15478","206030_at","ASPA"
"15479","206031_s_at","USP5"
"15480","206032_at","DSC3"
"15481","206033_s_at","DSC3"
"15482","206034_at","SERPINB8"
"15483","206035_at","REL"
"15484","206036_s_at","REL"
"15485","206037_at","CCBL1"
"15486","206038_s_at","NR2C2"
"15487","206039_at","RAB33A"
"15488","206040_s_at","MAPK11"
"15489","206042_x_at","SNRPN /// SNURF"
"15490","206043_s_at","ATP2C2"
"15491","206044_s_at","BRAF /// KIAA1549"
"15492","206045_s_at","NOL4"
"15493","206046_at","ADAM23"
"15494","206047_at","GNB3"
"15495","206048_at","OVOL2"
"15496","206049_at","SELP"
"15497","206050_s_at","RNH1"
"15498","206051_at","ELAVL4"
"15499","206052_s_at","SLBP"
"15500","206053_at","ZNF510"
"15501","206054_at","KNG1"
"15502","206055_s_at","SNRPA1"
"15503","206056_x_at","LOC105369261 /// SPN"
"15504","206057_x_at","LOC105369261 /// SPN"
"15505","206058_at","SLC6A12"
"15506","206059_at","ZNF91"
"15507","206060_s_at","PTPN22"
"15508","206061_s_at","DICER1"
"15509","206062_at","GUCA1A"
"15510","206063_x_at","PPIL2"
"15511","206064_s_at","PPIL2"
"15512","206065_s_at","DPYS"
"15513","206066_s_at","RAD51C"
"15514","206067_s_at","WT1"
"15515","206068_s_at","ACADL"
"15516","206069_s_at","ACADL"
"15517","206070_s_at","EPHA3"
"15518","206071_s_at","EPHA3"
"15519","206072_at","UCN"
"15520","206073_at","COLQ"
"15521","206074_s_at","HMGA1"
"15522","206075_s_at","CSNK2A1"
"15523","206076_at","LRRC23"
"15524","206077_at","KEL"
"15525","206078_at","KALRN"
"15526","206079_at","CHML"
"15527","206080_at","PLCH2"
"15528","206081_at","SLC24A1"
"15529","206082_at","HCP5"
"15530","206083_at","ADGRB1"
"15531","206084_at","PTPRR"
"15532","206085_s_at","CTH"
"15533","206086_x_at","HFE"
"15534","206087_x_at","HFE"
"15535","206088_at","LRRC37A2 /// LRRC37A3"
"15536","206089_at","NELL1"
"15537","206090_s_at","DISC1 /// TSNAX-DISC1"
"15538","206091_at","MATN3"
"15539","206092_x_at","RTEL1 /// RTEL1-TNFRSF6B"
"15540","206093_x_at","TNXA /// TNXB"
"15541","206094_x_at","UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9"
"15542","206095_s_at","SRSF10"
"15543","206096_at","ZNF35"
"15544","206097_at","SLC22A18AS"
"15545","206098_at","ZBTB6"
"15546","206099_at","PRKCH"
"15547","206100_at","CPM"
"15548","206101_at","ECM2"
"15549","206102_at","GINS1"
"15550","206103_at","RAC3"
"15551","206104_at","ISL1"
"15552","206105_at","AFF2"
"15553","206106_at","MAPK12"
"15554","206107_at","RGS11"
"15555","206108_s_at","SRSF6"
"15556","206109_at","FUT1"
"15557","206110_at","HIST1H3H"
"15558","206111_at","RNASE2"
"15559","206112_at","ANKRD7"
"15560","206113_s_at","RAB5A"
"15561","206114_at","EPHA4"
"15562","206115_at","EGR3"
"15563","206116_s_at","TPM1"
"15564","206117_at","TPM1"
"15565","206118_at","STAT4"
"15566","206119_at","BHMT"
"15567","206120_at","CD33"
"15568","206121_at","AMPD1"
"15569","206122_at","SOX15"
"15570","206123_at","LLGL1"
"15571","206124_s_at","LLGL1"
"15572","206125_s_at","KLK8"
"15573","206126_at","CXCR5"
"15574","206127_at","ELK3"
"15575","206128_at","ADRA2C"
"15576","206129_s_at","ARSB"
"15577","206130_s_at","ASGR2"
"15578","206131_at","CLPS"
"15579","206132_at","MCC"
"15580","206133_at","XAF1"
"15581","206134_at","ADAMDEC1"
"15582","206135_at","ST18"
"15583","206136_at","FZD5"
"15584","206137_at","RIMS2"
"15585","206138_s_at","PI4KB"
"15586","206139_at","PI4KB"
"15587","206140_at","LHX2"
"15588","206141_at","MOCS3"
"15589","206142_at","ZNF135"
"15590","206143_at","SLC26A3"
"15591","206144_at","MAGI1"
"15592","206145_at","RHAG"
"15593","206146_s_at","RHAG"
"15594","206147_x_at","SCML2"
"15595","206148_at","IL3RA"
"15596","206149_at","CHP2"
"15597","206150_at","CD27"
"15598","206151_x_at","CELA3B"
"15599","206152_at","AGAP2"
"15600","206153_at","CYP4F11"
"15601","206154_at","RLBP1"
"15602","206155_at","ABCC2"
"15603","206156_at","GJB5"
"15604","206157_at","PTX3"
"15605","206158_s_at","CNBP"
"15606","206159_at","GDF10"
"15607","206160_at","APOBEC2"
"15608","206161_s_at","SYT5"
"15609","206162_x_at","SYT5"
"15610","206163_at","MAB21L1 /// MIR548F5"
"15611","206164_at","CLCA2"
"15612","206165_s_at","CLCA2"
"15613","206166_s_at","CLCA2"
"15614","206167_s_at","ARHGAP6"
"15615","206168_at","ZC3H7B"
"15616","206169_x_at","ZC3H7B"
"15617","206170_at","ADRB2"
"15618","206171_at","ADORA3"
"15619","206172_at","IL13RA2"
"15620","206173_x_at","FLJ10038 /// GABPB1"
"15621","206174_s_at","PPP6C"
"15622","206175_x_at","ZNF222"
"15623","206176_at","BMP6"
"15624","206177_s_at","ARG1"
"15625","206178_at","PLA2G5"
"15626","206179_s_at","TPPP"
"15627","206180_x_at","ZNF747"
"15628","206181_at","SLAMF1"
"15629","206182_at","ZNF134"
"15630","206183_s_at","HERC3 /// LOC101929134"
"15631","206184_at","CRKL"
"15632","206185_at","CRYBB1"
"15633","206186_at","MPP3"
"15634","206187_at","PTGIR"
"15635","206188_at","ZNF623"
"15636","206189_at","UNC5C"
"15637","206190_at","GPR17"
"15638","206191_at","ENTPD3"
"15639","206192_at","CDSN"
"15640","206193_s_at","CDSN"
"15641","206194_at","HOXC4"
"15642","206195_x_at","GH2"
"15643","206196_s_at","RUNDC3A"
"15644","206197_at","NME5"
"15645","206198_s_at","CEACAM7"
"15646","206199_at","CEACAM7"
"15647","206200_s_at","ANXA11"
"15648","206201_s_at","MEOX2"
"15649","206202_at","MEOX2"
"15650","206203_at","RCVRN"
"15651","206204_at","GRB14"
"15652","206205_at","MPHOSPH9"
"15653","206206_at","CD180"
"15654","206207_at","CLC"
"15655","206208_at","CA4"
"15656","206209_s_at","CA4"
"15657","206210_s_at","CETP"
"15658","206211_at","SELE"
"15659","206212_at","CPA2"
"15660","206213_at","WNT10B"
"15661","206214_at","PLA2G7"
"15662","206215_at","OPCML"
"15663","206216_at","SRPK3"
"15664","206217_at","EDA"
"15665","206218_at","MAGEB2"
"15666","206219_s_at","VAV1"
"15667","206220_s_at","RASA3"
"15668","206221_at","RASA3"
"15669","206222_at","TNFRSF10C"
"15670","206223_at","LMTK2"
"15671","206224_at","CST1"
"15672","206225_at","ZNF507"
"15673","206226_at","HRG"
"15674","206227_at","CILP"
"15675","206228_at","PAX2"
"15676","206229_x_at","PAX2"
"15677","206230_at","LHX1"
"15678","206231_at","KCNN1"
"15679","206232_s_at","B4GALT6"
"15680","206233_at","B4GALT6"
"15681","206234_s_at","MMP17"
"15682","206235_at","LIG4"
"15683","206236_at","GPR4"
"15684","206237_s_at","NRG1"
"15685","206238_s_at","YAF2"
"15686","206239_s_at","SPINK1"
"15687","206240_s_at","ZNF136"
"15688","206241_at","KPNA5"
"15689","206242_at","TM4SF5"
"15690","206243_at","TIMP4"
"15691","206244_at","CR1"
"15692","206245_s_at","IVNS1ABP"
"15693","206246_at","PFKFB4"
"15694","206247_at","MICB"
"15695","206248_at","PRKCE"
"15696","206249_at","MAP3K13"
"15697","206250_x_at","AVPR1A"
"15698","206251_s_at","AVPR1A"
"15699","206252_s_at","AVPR1A"
"15700","206253_at","DLG2"
"15701","206254_at","EGF"
"15702","206255_at","BLK"
"15703","206256_at","CPN1"
"15704","206257_at","CCDC9"
"15705","206258_at","ST8SIA5"
"15706","206259_at","PROC"
"15707","206260_at","TGM4"
"15708","206261_at","ZNF239"
"15709","206262_at","ADH1C"
"15710","206263_at","FMO4"
"15711","206264_at","GPLD1"
"15712","206265_s_at","GPLD1"
"15713","206266_at","GPLD1"
"15714","206267_s_at","MATK"
"15715","206268_at","LEFTY1"
"15716","206269_at","GCM1"
"15717","206270_at","PRKCG"
"15718","206271_at","TLR3"
"15719","206272_at","RAB4A /// SPHAR"
"15720","206273_at","PRELID3A"
"15721","206274_s_at","CROCC"
"15722","206275_s_at","MICAL2"
"15723","206276_at","LY6D"
"15724","206277_at","P2RY2"
"15725","206278_at","PTAFR"
"15726","206279_at","PRKY"
"15727","206280_at","CDH18"
"15728","206281_at","ADCYAP1"
"15729","206282_at","NEUROD1"
"15730","206283_s_at","TAL1"
"15731","206284_x_at","CLTB"
"15732","206285_at","NPHP1"
"15733","206286_s_at","TDGF1 /// TDGF1P3"
"15734","206287_s_at","ITIH4"
"15735","206288_at","PGGT1B"
"15736","206289_at","HOXA4"
"15737","206290_s_at","RGS7"
"15738","206291_at","NTS"
"15739","206292_s_at","SULT2A1"
"15740","206293_at","SULT2A1"
"15741","206294_at","HSD3B2"
"15742","206295_at","IL18"
"15743","206296_x_at","MAP4K1"
"15744","206297_at","CTRC"
"15745","206298_at","ARHGAP22"
"15746","206299_at","FAM155B"
"15747","206300_s_at","PTHLH"
"15748","206301_at","TEC"
"15749","206302_s_at","NUDT4 /// NUDT4P1 /// NUDT4P2"
"15750","206303_s_at","NUDT4 /// NUDT4P1 /// NUDT4P2"
"15751","206304_at","MYBPH"
"15752","206305_s_at","C8A"
"15753","206306_at","RYR3"
"15754","206307_s_at","FOXD1"
"15755","206308_at","TRDMT1"
"15756","206309_at","LECT1"
"15757","206310_at","SPINK2"
"15758","206311_s_at","PLA2G1B"
"15759","206312_at","GUCY2C"
"15760","206313_at","HLA-DOA"
"15761","206314_at","ZKSCAN7"
"15762","206315_at","CRLF1"
"15763","206316_s_at","KNTC1"
"15764","206317_s_at","ABCB8"
"15765","206318_at","EPPIN"
"15766","206319_s_at","EPPIN"
"15767","206320_s_at","SMAD9"
"15768","206321_at","RFX1"
"15769","206322_at","SYN3"
"15770","206323_x_at","OPHN1"
"15771","206324_s_at","DAPK2"
"15772","206325_at","SERPINA6"
"15773","206326_at","GRP"
"15774","206327_s_at","CDH15"
"15775","206328_at","CDH15"
"15776","206329_at","EXTL1"
"15777","206330_s_at","SHC3"
"15778","206331_at","CALCRL"
"15779","206332_s_at","IFI16"
"15780","206333_at","MSI1"
"15781","206334_at","LIPF"
"15782","206335_at","GALNS"
"15783","206336_at","CXCL6"
"15784","206337_at","CCR7"
"15785","206338_at","ELAVL3"
"15786","206339_at","CARTPT"
"15787","206340_at","NR1H4"
"15788","206341_at","IL2RA"
"15789","206342_x_at","IDS"
"15790","206343_s_at","NRG1"
"15791","206344_at","PON1"
"15792","206345_s_at","PON1"
"15793","206346_at","PRLR"
"15794","206347_at","PDK3"
"15795","206348_s_at","PDK3"
"15796","206349_at","LGI1"
"15797","206350_at","APCS"
"15798","206351_s_at","PEX10"
"15799","206352_s_at","PEX10"
"15800","206353_at","COX6A2"
"15801","206354_at","SLCO1B3"
"15802","206355_at","GNAL"
"15803","206356_s_at","GNAL"
"15804","206357_at","OPA3"
"15805","206358_at","PRM1"
"15806","206359_at","SOCS3"
"15807","206360_s_at","SOCS3"
"15808","206361_at","PTGDR2"
"15809","206362_x_at","MAP3K10"
"15810","206363_at","MAF"
"15811","206364_at","KIF14"
"15812","206365_at","XCL1"
"15813","206366_x_at","XCL1"
"15814","206367_at","REN"
"15815","206368_at","CPLX2"
"15816","206369_s_at","PIK3CG"
"15817","206370_at","PIK3CG"
"15818","206371_at","FOLR3"
"15819","206372_at","MYF6"
"15820","206373_at","ZIC1"
"15821","206374_at","DUSP8"
"15822","206375_s_at","HSPB3"
"15823","206376_at","SLC6A15"
"15824","206377_at","FOXF2"
"15825","206378_at","SCGB2A2"
"15826","206379_at","EYA3"
"15827","206380_s_at","CFP"
"15828","206381_at","SCN2A"
"15829","206382_s_at","BDNF"
"15830","206383_s_at","G3BP2"
"15831","206384_at","CACNG3"
"15832","206385_s_at","ANK3"
"15833","206386_at","SERPINA7"
"15834","206387_at","CDX2"
"15835","206388_at","PDE3A"
"15836","206389_s_at","PDE3A"
"15837","206390_x_at","PF4"
"15838","206391_at","RARRES1"
"15839","206392_s_at","RARRES1"
"15840","206393_at","TNNI2"
"15841","206394_at","MYBPC2"
"15842","206395_at","DGKG"
"15843","206396_at","SLC1A1"
"15844","206397_x_at","CERS1 /// GDF1"
"15845","206398_s_at","CD19"
"15846","206399_x_at","CACNA1A"
"15847","206400_at","LGALS7 /// LGALS7B"
"15848","206401_s_at","MAPT"
"15849","206402_s_at","NPFF"
"15850","206403_at","ZNF536"
"15851","206404_at","FGF9"
"15852","206405_x_at","USP6"
"15853","206406_at","SMCP"
"15854","206407_s_at","CCL13"
"15855","206408_at","LRRTM2"
"15856","206409_at","TIAM1"
"15857","206410_at","NR0B2"
"15858","206411_s_at","ABL2"
"15859","206412_at","FER"
"15860","206413_s_at","TCL1B"
"15861","206414_s_at","ASAP2"
"15862","206415_at","TLL1"
"15863","206416_at","ZNF205"
"15864","206417_at","CNGA1"
"15865","206418_at","NOX1"
"15866","206419_at","RORC"
"15867","206420_at","IGSF6"
"15868","206421_s_at","SERPINB7"
"15869","206422_at","GCG"
"15870","206423_at","ANGPTL7"
"15871","206424_at","CYP26A1"
"15872","206425_s_at","TRPC3"
"15873","206426_at","MLANA"
"15874","206427_s_at","MLANA"
"15875","206428_s_at","ZNF143"
"15876","206429_at","F2RL1"
"15877","206430_at","CDX1"
"15878","206431_x_at","TBC1D9B"
"15879","206432_at","HAS2"
"15880","206433_s_at","SPOCK3"
"15881","206434_at","SPOCK3"
"15882","206435_at","B4GALNT1"
"15883","206436_at","MPPED1"
"15884","206437_at","S1PR4"
"15885","206438_x_at","TCTN2"
"15886","206439_at","EPYC"
"15887","206440_at","LIN7A"
"15888","206441_s_at","COMMD4"
"15889","206442_at","SEMG1"
"15890","206443_at","RORB"
"15891","206444_at","PDE1B"
"15892","206445_s_at","PRMT1"
"15893","206446_s_at","CELA2A /// CELA2B"
"15894","206447_at","CELA2A /// CELA2B"
"15895","206448_at","ZNF365"
"15896","206449_s_at","MASP1"
"15897","206450_at","DBH"
"15898","206451_at","TBCCD1"
"15899","206452_x_at","PPP2R4"
"15900","206453_s_at","NDRG2"
"15901","206454_s_at","RHO"
"15902","206455_s_at","RHO"
"15903","206456_at","GABRA5"
"15904","206457_s_at","DIO1"
"15905","206458_s_at","WNT2B"
"15906","206459_s_at","WNT2B"
"15907","206460_at","AJAP1"
"15908","206461_x_at","MT1H"
"15909","206462_s_at","NTRK3"
"15910","206463_s_at","DHRS2"
"15911","206464_at","BMX"
"15912","206465_at","ACSBG1"
"15913","206466_at","ACSBG1"
"15914","206467_x_at","RTEL1-TNFRSF6B /// TNFRSF6B"
"15915","206468_s_at","METTL13"
"15916","206469_x_at","AKR7A3"
"15917","206470_at","PLXNC1"
"15918","206471_s_at","PLXNC1"
"15919","206472_s_at","TLE3"
"15920","206473_at","MBTPS2"
"15921","206474_at","CDK17"
"15922","206475_x_at","CSH1 /// CSHL1"
"15923","206476_s_at","NOVA2"
"15924","206477_s_at","NOVA2"
"15925","206478_at","KIAA0125"
"15926","206479_at","TRPM1"
"15927","206480_at","LTC4S"
"15928","206481_s_at","LDB2"
"15929","206482_at","PTK6"
"15930","206483_at","LRRC6"
"15931","206484_s_at","XPNPEP2"
"15932","206485_at","CD5"
"15933","206486_at","LAG3"
"15934","206487_at","SUN1"
"15935","206488_s_at","CD36"
"15936","206489_s_at","DLGAP1"
"15937","206490_at","DLGAP1"
"15938","206491_s_at","NAPA"
"15939","206492_at","FHIT"
"15940","206493_at","ITGA2B"
"15941","206494_s_at","ITGA2B"
"15942","206495_s_at","HINFP"
"15943","206496_at","FMO3"
"15944","206497_at","COA1"
"15945","206498_at","OCA2"
"15946","206499_s_at","RCC1"
"15947","206500_s_at","MIS18BP1"
"15948","206501_x_at","ETV1"
"15949","206502_s_at","INSM1"
"15950","206503_x_at","PML"
"15951","206504_at","CYP24A1"
"15952","206505_at","UGT2B4"
"15953","206506_s_at","SUPT3H"
"15954","206507_at","ZSCAN12"
"15955","206508_at","CD70"
"15956","206509_at","PIP"
"15957","206510_at","SIX2"
"15958","206511_s_at","SIX2"
"15959","206512_at","SRP19 /// ZRSR1"
"15960","206513_at","AIM2"
"15961","206514_s_at","CYP4F2 /// CYP4F3"
"15962","206515_at","CYP4F3"
"15963","206516_at","AMH"
"15964","206517_at","CDH16"
"15965","206518_s_at","RGS9"
"15966","206519_x_at","SIGLEC6"
"15967","206520_x_at","SIGLEC6"
"15968","206521_s_at","GTF2A1"
"15969","206522_at","MGAM"
"15970","206523_at","CYTH3"
"15971","206524_at","T"
"15972","206525_at","GABRR1"
"15973","206526_at","RIBC2"
"15974","206527_at","ABAT"
"15975","206528_at","TRPC6"
"15976","206529_x_at","SLC26A4"
"15977","206530_at","RAB30"
"15978","206531_at","DPF1"
"15979","206532_at","SMARCB1"
"15980","206533_at","CHRNA5"
"15981","206534_at","GRIN2A"
"15982","206535_at","SLC2A2"
"15983","206536_s_at","XIAP"
"15984","206537_at","XIAP"
"15985","206538_at","MRAS"
"15986","206539_s_at","CYP4F12"
"15987","206540_at","GLB1L"
"15988","206541_at","KLKB1"
"15989","206542_s_at","SMARCA2"
"15990","206543_at","SMARCA2"
"15991","206544_x_at","SMARCA2"
"15992","206545_at","CD28"
"15993","206546_at","SYCP2"
"15994","206547_s_at","PPEF1"
"15995","206548_at","206548_at"
"15996","206549_at","INSL4"
"15997","206550_s_at","NUP155"
"15998","206551_x_at","KLHL24"
"15999","206552_s_at","TAC1"
"16000","206553_at","OAS2"
"16001","206554_x_at","SETMAR"
"16002","206555_s_at","THUMPD1"
"16003","206556_at","CLUL1"
"16004","206557_at","ZNF702P"
"16005","206558_at","SIM2"
"16006","206559_x_at","EEF1A1"
"16007","206560_s_at","MIA"
"16008","206561_s_at","AKR1B10"
"16009","206562_s_at","CSNK1A1"
"16010","206563_s_at","OPRL1"
"16011","206564_at","OPRL1"
"16012","206565_x_at","LOC100653061 /// SMA4"
"16013","206566_at","SLC7A1"
"16014","206567_s_at","PHF20"
"16015","206568_at","TNP1"
"16016","206569_at","IL24"
"16017","206570_s_at","PSG11"
"16018","206571_s_at","MAP4K4"
"16019","206572_x_at","ZNF85"
"16020","206573_at","KCNQ3"
"16021","206574_s_at","PTP4A3"
"16022","206575_at","CDKL5"
"16023","206576_s_at","CEACAM1"
"16024","206577_at","VIP"
"16025","206578_at","NKX2-5"
"16026","206579_at","ZKSCAN8"
"16027","206580_s_at","EFEMP2"
"16028","206581_at","BNC1"
"16029","206582_s_at","ADGRG1"
"16030","206583_at","KRBOX4"
"16031","206584_at","LY96"
"16032","206585_at","MKRN3"
"16033","206586_at","CNR2"
"16034","206587_at","CCT6B"
"16035","206588_at","DAZL"
"16036","206589_at","GFI1"
"16037","206590_x_at","DRD2"
"16038","206591_at","RAG1"
"16039","206592_s_at","AP3D1"
"16040","206593_s_at","MED22"
"16041","206594_at","PASK"
"16042","206595_at","CST6"
"16043","206596_s_at","NRL"
"16044","206597_at","NRL"
"16045","206598_at","INS"
"16046","206599_at","SLC16A5"
"16047","206600_s_at","SLC16A5"
"16048","206601_s_at","HOXD3 /// HOXD4"
"16049","206602_s_at","HOXD3 /// HOXD4"
"16050","206603_at","SLC2A4"
"16051","206604_at","OVOL1"
"16052","206605_at","ENDOU"
"16053","206606_at","LIPC"
"16054","206607_at","CBL"
"16055","206608_s_at","RPGRIP1"
"16056","206609_at","MAGEC1"
"16057","206610_s_at","F11"
"16058","206611_at","C2orf27A"
"16059","206612_at","CACNG1"
"16060","206613_s_at","TAF1A"
"16061","206614_at","GDF5"
"16062","206615_s_at","ADAM22"
"16063","206616_s_at","ADAM22"
"16064","206617_s_at","RENBP"
"16065","206618_at","IL18R1"
"16066","206619_at","DKK4"
"16067","206620_at","GRAP /// GRAPL"
"16068","206621_s_at","EIF4H"
"16069","206622_at","TRH"
"16070","206623_at","PDE6A"
"16071","206624_at","USP9Y"
"16072","206625_at","PRPH2"
"16073","206626_x_at","SSX1"
"16074","206627_s_at","SSX1"
"16075","206628_at","SLC5A1"
"16076","206629_at","ADAMTSL2"
"16077","206630_at","TYR"
"16078","206631_at","PTGER2"
"16079","206632_s_at","APOBEC3B"
"16080","206633_at","CHRNA1"
"16081","206634_at","SIX3"
"16082","206635_at","CHRNB2"
"16083","206636_at","RASA2"
"16084","206637_at","P2RY14"
"16085","206638_at","HTR2B"
"16086","206639_x_at","HTN1"
"16087","206640_x_at","GAGE12B /// GAGE12C /// GAGE12D /// GAGE12E /// GAGE12F /// GAGE12G /// GAGE12H /// GAGE12I /// GAGE2A /// GAGE2C /// GAGE2D /// GAGE2E /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE8"
"16088","206641_at","TNFRSF17"
"16089","206642_at","DSG1"
"16090","206643_at","HAL"
"16091","206644_at","NR0B1"
"16092","206645_s_at","NR0B1"
"16093","206646_at","GLI1"
"16094","206647_at","HBZ"
"16095","206648_at","ZNF571"
"16096","206649_s_at","TFE3"
"16097","206650_at","IQCC"
"16098","206651_s_at","CPB2"
"16099","206652_at","ZMYM5"
"16100","206653_at","POLR3G"
"16101","206654_s_at","POLR3G"
"16102","206655_s_at","GP1BB /// SEPT5 /// SEPT5-GP1BB"
"16103","206656_s_at","APMAP"
"16104","206657_s_at","MYOD1"
"16105","206658_at","LOC105375355 /// UPK3B"
"16106","206659_at","206659_at"
"16107","206660_at","IGLL1"
"16108","206661_at","DBF4B"
"16109","206662_at","GLRX"
"16110","206663_at","SP4"
"16111","206664_at","SI"
"16112","206665_s_at","BCL2L1"
"16113","206666_at","GZMK"
"16114","206667_s_at","SCAMP1"
"16115","206668_s_at","SCAMP1"
"16116","206669_at","GAD1"
"16117","206670_s_at","GAD1"
"16118","206671_at","SAG"
"16119","206672_at","AQP2"
"16120","206673_at","GPR176"
"16121","206674_at","FLT3"
"16122","206675_s_at","SKIL"
"16123","206676_at","CEACAM8"
"16124","206677_at","KRT31"
"16125","206678_at","GABRA1"
"16126","206679_at","APBA1"
"16127","206680_at","CD5L"
"16128","206681_x_at","GP2"
"16129","206682_at","CLEC10A"
"16130","206683_at","ZNF165"
"16131","206684_s_at","ATF7"
"16132","206685_at","HCG4"
"16133","206686_at","PDK1"
"16134","206687_s_at","PTPN6"
"16135","206688_s_at","CPSF4"
"16136","206689_x_at","KAT5"
"16137","206690_at","ASIC2"
"16138","206691_s_at","PDIA2"
"16139","206692_at","KCNJ10"
"16140","206693_at","IL7"
"16141","206694_at","PNLIPRP1"
"16142","206695_x_at","ZNF43"
"16143","206696_at","GPR143"
"16144","206697_s_at","HP"
"16145","206698_at","XK"
"16146","206699_x_at","NPAS1"
"16147","206700_s_at","KDM5D"
"16148","206701_x_at","EDNRB"
"16149","206702_at","TEK"
"16150","206703_at","CHRNB1"
"16151","206704_at","CLCN5"
"16152","206705_at","TULP1"
"16153","206706_at","NTF3"
"16154","206707_x_at","FAM65B"
"16155","206708_at","FOXN2"
"16156","206709_x_at","GPT"
"16157","206710_s_at","EPB41L3"
"16158","206711_at","TMEM257"
"16159","206712_at","GRTP1"
"16160","206713_at","NTNG1"
"16161","206714_at","ALOX15B"
"16162","206715_at","TFEC"
"16163","206716_at","UMOD"
"16164","206717_at","MYH8"
"16165","206718_at","LMO1"
"16166","206719_at","SYNGR4"
"16167","206720_at","MGAT5"
"16168","206721_at","CCDC181"
"16169","206722_s_at","LPAR2"
"16170","206723_s_at","LPAR2"
"16171","206724_at","CBX4"
"16172","206725_x_at","BMP1"
"16173","206726_at","HPGDS"
"16174","206727_at","C9"
"16175","206728_at","ECE2"
"16176","206729_at","TNFRSF8"
"16177","206730_at","GRIA3"
"16178","206731_at","CNKSR2"
"16179","206732_at","SLITRK3"
"16180","206733_at","TULP2"
"16181","206734_at","JRKL"
"16182","206735_at","CHRNA4 /// LOC102723788"
"16183","206736_x_at","CHRNA4 /// LOC102723788"
"16184","206737_at","WNT11"
"16185","206738_at","APOC2 /// APOC4 /// APOC4-APOC2"
"16186","206739_at","HOXC5"
"16187","206740_x_at","SYCP1"
"16188","206741_at","LOC105376948 /// SSUH2"
"16189","206742_at","FIGF /// PIR-FIGF"
"16190","206743_s_at","ASGR1"
"16191","206744_s_at","ZMYM5"
"16192","206745_at","HOXC11"
"16193","206746_at","BFSP1"
"16194","206747_at","GPRIN2"
"16195","206748_s_at","SPAG9"
"16196","206749_at","CD1B"
"16197","206750_at","MAFK"
"16198","206751_s_at","PCYT1B"
"16199","206752_s_at","DFFB"
"16200","206753_at","RDH16"
"16201","206754_s_at","CYP2B6 /// CYP2B7P"
"16202","206755_at","CYP2B6"
"16203","206756_at","CHST7"
"16204","206757_at","PDE5A"
"16205","206758_at","EDN2"
"16206","206759_at","FCER2"
"16207","206760_s_at","FCER2"
"16208","206761_at","CD96"
"16209","206762_at","KCNA5"
"16210","206763_at","FKBP6"
"16211","206764_x_at","MPPE1"
"16212","206765_at","KCNJ2"
"16213","206766_at","ITGA10"
"16214","206767_at","RBMS3"
"16215","206768_at","RPL3L"
"16216","206769_at","TMSB4Y"
"16217","206770_s_at","SLC35A3"
"16218","206771_at","UPK3A"
"16219","206772_at","PTH2R"
"16220","206773_at","LY6H"
"16221","206774_at","FRMPD1"
"16222","206775_at","CUBN"
"16223","206776_x_at","ACRV1"
"16224","206777_s_at","CRYBB2 /// CRYBB2P1"
"16225","206778_at","CRYBB2"
"16226","206779_s_at","ASMT"
"16227","206780_at","GAD2"
"16228","206781_at","DNAJC4"
"16229","206782_s_at","DNAJC4"
"16230","206783_at","FGF4"
"16231","206784_at","AQP8"
"16232","206785_s_at","KLRC1 /// KLRC2"
"16233","206786_at","HTN3"
"16234","206787_at","BRDT"
"16235","206788_s_at","CBFB"
"16236","206789_s_at","POU2F1"
"16237","206790_s_at","NDUFB1"
"16238","206791_s_at","LOC729966 /// PDE4C"
"16239","206792_x_at","LOC729966 /// PDE4C"
"16240","206793_at","PNMT"
"16241","206794_at","ERBB4"
"16242","206795_at","F2RL2"
"16243","206796_at","WISP1"
